"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 15:04:43 GMT 2023","Wed Apr 05 15:04:44 GMT 2023","924","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidId","Test search with invalid id",""
"passed","Wed Apr 05 15:04:55 GMT 2023","Wed Apr 05 15:04:55 GMT 2023","420","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testOutOfRangePageValue","Test out of range page value",""
"passed","Wed Apr 05 15:04:48 GMT 2023","Wed Apr 05 15:04:49 GMT 2023","950","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithNonExistentValue","Test search with non-existent value",""
"passed","Wed Apr 05 15:04:49 GMT 2023","Wed Apr 05 15:04:49 GMT 2023","633","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByActiveStatus","Test search by active status",""
"passed","Wed Apr 05 15:04:56 GMT 2023","Wed Apr 05 15:04:57 GMT 2023","890","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testNegativeOrInvalidValues","Test negative or invalid values",""
"passed","Wed Apr 05 15:04:54 GMT 2023","Wed Apr 05 15:04:54 GMT 2023","442","","Users Tests","","gorest.api.tests.UsersTests","createUserWithInvalidEmail","Create user with invalid email",""
"passed","Wed Apr 05 15:04:51 GMT 2023","Wed Apr 05 15:04:51 GMT 2023","526","","Users Tests","","gorest.api.tests.UsersTests","createNewUser","Create new user",""
"passed","Wed Apr 05 15:04:47 GMT 2023","Wed Apr 05 15:04:48 GMT 2023","954","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByFemaleGender","Test search by female gender",""
"passed","Wed Apr 05 15:04:58 GMT 2023","Wed Apr 05 15:04:59 GMT 2023","927","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testValidPaginationValues","Test valid pagination values",""
"passed","Wed Apr 05 15:04:53 GMT 2023","Wed Apr 05 15:04:54 GMT 2023","417","","Users Tests","","gorest.api.tests.UsersTests","deleteCreatedUser","Delete new user",""
"passed","Wed Apr 05 15:04:55 GMT 2023","Wed Apr 05 15:04:56 GMT 2023","373","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testPaginationHeaders","Test pagination headers",""
"passed","Wed Apr 05 15:04:44 GMT 2023","Wed Apr 05 15:04:45 GMT 2023","895","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidStatus","Test search with invalid status",""
"passed","Wed Apr 05 15:05:01 GMT 2023","Wed Apr 05 15:05:02 GMT 2023","446","","Users Tests","","gorest.api.tests.PostsTests","updateCreatedPostPatch","Update created new post - PATCH",""
"passed","Wed Apr 05 15:04:53 GMT 2023","Wed Apr 05 15:04:53 GMT 2023","441","","Users Tests","","gorest.api.tests.UsersTests","updateCreatedUserPatch","Update created new user - PATCH",""
"passed","Wed Apr 05 15:04:39 GMT 2023","Wed Apr 05 15:04:40 GMT 2023","1126","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByMaleGender","Test search by male gender",""
"passed","Wed Apr 05 15:04:46 GMT 2023","Wed Apr 05 15:04:47 GMT 2023","942","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByName","Test search by name",""
"passed","Wed Apr 05 15:04:50 GMT 2023","Wed Apr 05 15:04:51 GMT 2023","427","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidEmail","Test search with invalid email",""
"passed","Wed Apr 05 15:04:45 GMT 2023","Wed Apr 05 15:04:46 GMT 2023","988","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByMultipleFields","Test search by multiple fields",""
"passed","Wed Apr 05 15:04:54 GMT 2023","Wed Apr 05 15:04:55 GMT 2023","430","","Users Tests","","gorest.api.tests.UsersTests","createUserWithInvalidGender","Create user with invalid gender",""
"passed","Wed Apr 05 15:04:54 GMT 2023","Wed Apr 05 15:04:54 GMT 2023","395","","Users Tests","","gorest.api.tests.UsersTests","getDeletedUser","Get deleted user",""
"passed","Wed Apr 05 15:05:00 GMT 2023","Wed Apr 05 15:05:01 GMT 2023","693","","Users Tests","","gorest.api.tests.PostsTests","getNewPost","Get new post",""
"passed","Wed Apr 05 15:04:40 GMT 2023","Wed Apr 05 15:04:41 GMT 2023","958","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchById","Test search by id",""
"passed","Wed Apr 05 15:05:00 GMT 2023","Wed Apr 05 15:05:00 GMT 2023","577","","Users Tests","","gorest.api.tests.PostsTests","createNewPost","Create new post",""
"passed","Wed Apr 05 15:04:51 GMT 2023","Wed Apr 05 15:04:52 GMT 2023","954","","Users Tests","","gorest.api.tests.UsersTests","getNewUser","Get new user",""
"passed","Wed Apr 05 15:05:02 GMT 2023","Wed Apr 05 15:05:02 GMT 2023","398","","Users Tests","","gorest.api.tests.PostsTests","deleteCreatedPost","Delete new post",""
"passed","Wed Apr 05 15:04:41 GMT 2023","Wed Apr 05 15:04:42 GMT 2023","980","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByEmail","Test search by email",""
"passed","Wed Apr 05 15:04:52 GMT 2023","Wed Apr 05 15:04:53 GMT 2023","437","","Users Tests","","gorest.api.tests.UsersTests","updateCreatedUser","Update created new user - PUT",""
"passed","Wed Apr 05 15:05:01 GMT 2023","Wed Apr 05 15:05:01 GMT 2023","479","","Users Tests","","gorest.api.tests.PostsTests","updateCreatedPost","Update created new post - PUT",""
