"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 05:01:33 GMT 2023","Tue Apr 04 05:01:33 GMT 2023","374","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidEmail","Test search with invalid email",""
"passed","Tue Apr 04 05:01:34 GMT 2023","Tue Apr 04 05:01:35 GMT 2023","410","","Users Tests","","gorest.api.tests.UsersTests","updateCreatedUser","Update created new user - PUT",""
"passed","Tue Apr 04 05:01:36 GMT 2023","Tue Apr 04 05:01:37 GMT 2023","800","","Users Tests","","gorest.api.tests.UsersTests","createUserWithInvalidEmail","Create user with invalid email",""
"passed","Tue Apr 04 05:01:42 GMT 2023","Tue Apr 04 05:01:42 GMT 2023","355","","Users Tests","","gorest.api.tests.PostsTests","createNewPost","Create new post",""
"passed","Tue Apr 04 05:01:35 GMT 2023","Tue Apr 04 05:01:36 GMT 2023","835","","Users Tests","","gorest.api.tests.UsersTests","updateCreatedUserPatch","Update created new user - PATCH",""
"passed","Tue Apr 04 05:01:31 GMT 2023","Tue Apr 04 05:01:32 GMT 2023","796","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithNonExistentValue","Test search with non-existent value",""
"passed","Tue Apr 04 05:01:36 GMT 2023","Tue Apr 04 05:01:36 GMT 2023","357","","Users Tests","","gorest.api.tests.UsersTests","deleteCreatedUser","Delete new user",""
"passed","Tue Apr 04 05:01:30 GMT 2023","Tue Apr 04 05:01:31 GMT 2023","878","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByName","Test search by name",""
"passed","Tue Apr 04 05:01:31 GMT 2023","Tue Apr 04 05:01:31 GMT 2023","375","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByFemaleGender","Test search by female gender",""
"passed","Tue Apr 04 05:01:38 GMT 2023","Tue Apr 04 05:01:39 GMT 2023","335","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testPaginationHeaders","Test pagination headers",""
"passed","Tue Apr 04 05:01:32 GMT 2023","Tue Apr 04 05:01:33 GMT 2023","374","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByInActiveStatus","Test search by inactive status",""
"passed","Tue Apr 04 05:01:26 GMT 2023","Tue Apr 04 05:01:27 GMT 2023","1021","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByMaleGender","Test search by male gender",""
"passed","Tue Apr 04 05:01:37 GMT 2023","Tue Apr 04 05:01:38 GMT 2023","808","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testOutOfRangePageValue","Test out of range page value",""
"passed","Tue Apr 04 05:01:37 GMT 2023","Tue Apr 04 05:01:37 GMT 2023","343","","Users Tests","","gorest.api.tests.UsersTests","createUserWithInvalidGender","Create user with invalid gender",""
"passed","Tue Apr 04 05:01:27 GMT 2023","Tue Apr 04 05:01:28 GMT 2023","862","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchById","Test search by id",""
"passed","Tue Apr 04 05:01:42 GMT 2023","Tue Apr 04 05:01:42 GMT 2023","329","","Users Tests","","gorest.api.tests.PostsTests","getNewPost","Get new post",""
